"기준년월","발신지역(시/도)","발신지역(시/군/구)","발신지역(읍/면/동)","통화량"
"2013년 08월","서울특별시","강남구","개포2동","67"
"2013년 08월","서울특별시","강남구","개포4동","127"
"2013년 08월","서울특별시","강남구","개포동","171"
"2013년 08월","서울특별시","강남구","논현1동","166"
"2013년 08월","서울특별시","강남구","논현2동","248"
"2013년 08월","서울특별시","강남구","논현동","697"
"2013년 08월","서울특별시","강남구","대치1동","62"
"2013년 08월","서울특별시","강남구","대치2동","213"
"2013년 08월","서울특별시","강남구","대치3동","42"
"2013년 08월","서울특별시","강남구","대치4동","87"
"2013년 08월","서울특별시","강남구","대치동","196"
"2013년 08월","서울특별시","강남구","도곡2동","125"
"2013년 08월","서울특별시","강남구","도곡동","253"
"2013년 08월","서울특별시","강남구","삼성1동","502"
"2013년 08월","서울특별시","강남구","삼성2동","616"
"2013년 08월","서울특별시","강남구","삼성동","276"
"2013년 08월","서울특별시","강남구","세곡동","90"
"2013년 08월","서울특별시","강남구","수서동","118"
"2013년 08월","서울특별시","강남구","신사동","1310"
"2013년 08월","서울특별시","강남구","압구정1동","62"
"2013년 08월","서울특별시","강남구","역삼1동","750"
"2013년 08월","서울특별시","강남구","역삼2동","408"
"2013년 08월","서울특별시","강남구","역삼동","1428"
"2013년 08월","서울특별시","강남구","일원1동","125"
"2013년 08월","서울특별시","강남구","일원2동","7"
"2013년 08월","서울특별시","강남구","일원동","56"
"2013년 08월","서울특별시","강남구","청담동","546"
"2013년 08월","서울특별시","강동구","강일동","233"
"2013년 08월","서울특별시","강동구","고덕2동","15"
"2013년 08월","서울특별시","강동구","고덕동","51"
"2013년 08월","서울특별시","강동구","길2동","73"
"2013년 08월","서울특별시","강동구","길동","250"
"2013년 08월","서울특별시","강동구","둔촌동","14"
"2013년 08월","서울특별시","강동구","명일동","160"
"2013년 08월","서울특별시","강동구","상일동","466"
"2013년 08월","서울특별시","강동구","성내3동","9"
"2013년 08월","서울특별시","강동구","성내동","268"
"2013년 08월","서울특별시","강동구","암사3동","12"
"2013년 08월","서울특별시","강동구","암사동","134"
"2013년 08월","서울특별시","강동구","천호2동","52"
"2013년 08월","서울특별시","강동구","천호3동","8"
"2013년 08월","서울특별시","강동구","천호동","276"
"2013년 08월","서울특별시","강북구","미아1동","20"
"2013년 08월","서울특별시","강북구","미아3동","29"
"2013년 08월","서울특별시","강북구","미아5동","18"
"2013년 08월","서울특별시","강북구","미아8동","91"
"2013년 08월","서울특별시","강북구","미아동","167"
"2013년 08월","서울특별시","강북구","번1동","143"
"2013년 08월","서울특별시","강북구","번동","90"
"2013년 08월","서울특별시","강북구","수유1동","79"
"2013년 08월","서울특별시","강북구","수유2동","91"
"2013년 08월","서울특별시","강북구","수유5동","7"
"2013년 08월","서울특별시","강북구","수유동","11"
"2013년 08월","서울특별시","강북구","우이동","194"
"2013년 08월","서울특별시","강서구","가양2동","127"
"2013년 08월","서울특별시","강서구","가양동","12"
"2013년 08월","서울특별시","강서구","개화동","28"
"2013년 08월","서울특별시","강서구","과해동","636"
"2013년 08월","서울특별시","강서구","내발산동","193"
"2013년 08월","서울특별시","강서구","등촌2동","31"
"2013년 08월","서울특별시","강서구","등촌3동","131"
"2013년 08월","서울특별시","강서구","등촌동","137"
"2013년 08월","서울특별시","강서구","방화1동","48"
"2013년 08월","서울특별시","강서구","방화2동","340"
"2013년 08월","서울특별시","강서구","방화3동","42"
"2013년 08월","서울특별시","강서구","방화동","284"
"2013년 08월","서울특별시","강서구","염창동","229"
"2013년 08월","서울특별시","강서구","외발산동","128"
"2013년 08월","서울특별시","강서구","화곡1동","40"
"2013년 08월","서울특별시","강서구","화곡3동","17"
"2013년 08월","서울특별시","강서구","화곡4동","35"
"2013년 08월","서울특별시","강서구","화곡6동","175"
"2013년 08월","서울특별시","강서구","화곡8동","89"
"2013년 08월","서울특별시","강서구","화곡동","303"
"2013년 08월","서울특별시","강서구","화곡본동","69"
"2013년 08월","서울특별시","관악구","난곡동","45"
"2013년 08월","서울특별시","관악구","난향동","29"
"2013년 08월","서울특별시","관악구","남현동","99"
"2013년 08월","서울특별시","관악구","대학동","43"
"2013년 08월","서울특별시","관악구","미성동","19"
"2013년 08월","서울특별시","관악구","보라매동","116"
"2013년 08월","서울특별시","관악구","봉천2동","26"
"2013년 08월","서울특별시","관악구","봉천4동","31"
"2013년 08월","서울특별시","관악구","봉천동","230"
"2013년 08월","서울특별시","관악구","삼성동","31"
"2013년 08월","서울특별시","관악구","서원동","34"
"2013년 08월","서울특별시","관악구","신림4동","11"
"2013년 08월","서울특별시","관악구","신림동","270"
"2013년 08월","서울특별시","관악구","신사동","94"
"2013년 08월","서울특별시","관악구","은천동","50"
"2013년 08월","서울특별시","관악구","조원동","31"
"2013년 08월","서울특별시","관악구","청룡동","56"
"2013년 08월","서울특별시","광진구","광장동","105"
"2013년 08월","서울특별시","광진구","구의3동","24"
"2013년 08월","서울특별시","광진구","구의동","215"
"2013년 08월","서울특별시","광진구","군자동","89"
"2013년 08월","서울특별시","광진구","능동","52"
"2013년 08월","서울특별시","광진구","모진동","33"
"2013년 08월","서울특별시","광진구","자양3동","116"
"2013년 08월","서울특별시","광진구","자양동","305"
"2013년 08월","서울특별시","광진구","중곡1동","47"
"2013년 08월","서울특별시","광진구","중곡2동","43"
"2013년 08월","서울특별시","광진구","중곡3동","44"
"2013년 08월","서울특별시","광진구","중곡동","111"
"2013년 08월","서울특별시","광진구","화양동","102"
"2013년 08월","서울특별시","구로구","가리봉동","120"
"2013년 08월","서울특별시","구로구","개봉3동","52"
"2013년 08월","서울특별시","구로구","개봉동","48"
"2013년 08월","서울특별시","구로구","개봉본동","72"
"2013년 08월","서울특별시","구로구","고척2동","148"
"2013년 08월","서울특별시","구로구","고척동","148"
"2013년 08월","서울특별시","구로구","구로2동","212"
"2013년 08월","서울특별시","구로구","구로3동","164"
"2013년 08월","서울특별시","구로구","구로4동","7"
"2013년 08월","서울특별시","구로구","구로5동","41"
"2013년 08월","서울특별시","구로구","구로동","229"
"2013년 08월","서울특별시","구로구","구로본동","60"
"2013년 08월","서울특별시","구로구","궁동","112"
"2013년 08월","서울특별시","구로구","신도림동","136"
"2013년 08월","서울특별시","구로구","오류동","274"
"2013년 08월","서울특별시","구로구","온수동","119"
"2013년 08월","서울특별시","금천구","가산동","596"
"2013년 08월","서울특별시","금천구","독산1동","40"
"2013년 08월","서울특별시","금천구","독산4동","23"
"2013년 08월","서울특별시","금천구","독산동","87"
"2013년 08월","서울특별시","금천구","독산본동","50"
"2013년 08월","서울특별시","금천구","시흥2동","30"
"2013년 08월","서울특별시","금천구","시흥3동","44"
"2013년 08월","서울특별시","금천구","시흥4동","23"
"2013년 08월","서울특별시","금천구","시흥동","133"
"2013년 08월","서울특별시","노원구","공릉1동","78"
"2013년 08월","서울특별시","노원구","공릉2동","63"
"2013년 08월","서울특별시","노원구","공릉동","134"
"2013년 08월","서울특별시","노원구","상계1동","182"
"2013년 08월","서울특별시","노원구","상계2동","154"
"2013년 08월","서울특별시","노원구","상계3동","76"
"2013년 08월","서울특별시","노원구","상계5동","65"
"2013년 08월","서울특별시","노원구","상계동","403"
"2013년 08월","서울특별시","노원구","월계1동","63"
"2013년 08월","서울특별시","노원구","월계2동","133"
"2013년 08월","서울특별시","노원구","월계동","48"
"2013년 08월","서울특별시","노원구","중계1동","76"
"2013년 08월","서울특별시","노원구","중계2.3동","29"
"2013년 08월","서울특별시","노원구","중계동","79"
"2013년 08월","서울특별시","노원구","하계1동","8"
"2013년 08월","서울특별시","노원구","하계동","120"
"2013년 08월","서울특별시","도봉구","도봉1동","212"
"2013년 08월","서울특별시","도봉구","도봉동","40"
"2013년 08월","서울특별시","도봉구","방학1동","20"
"2013년 08월","서울특별시","도봉구","방학2동","113"
"2013년 08월","서울특별시","도봉구","방학3동","52"
"2013년 08월","서울특별시","도봉구","방학동","51"
"2013년 08월","서울특별시","도봉구","쌍문1동","111"
"2013년 08월","서울특별시","도봉구","쌍문2동","15"
"2013년 08월","서울특별시","도봉구","쌍문3동","30"
"2013년 08월","서울특별시","도봉구","쌍문동","44"
"2013년 08월","서울특별시","도봉구","창1동","1324"
"2013년 08월","서울특별시","도봉구","창3동","95"
"2013년 08월","서울특별시","도봉구","창4동","152"
"2013년 08월","서울특별시","도봉구","창5동","37"
"2013년 08월","서울특별시","도봉구","창동","73"
"2013년 08월","서울특별시","동대문구","답십리4동","11"
"2013년 08월","서울특별시","동대문구","답십리동","61"
"2013년 08월","서울특별시","동대문구","신설동","72"
"2013년 08월","서울특별시","동대문구","용두동","136"
"2013년 08월","서울특별시","동대문구","이문1동","17"
"2013년 08월","서울특별시","동대문구","이문2동","16"
"2013년 08월","서울특별시","동대문구","장안1동","128"
"2013년 08월","서울특별시","동대문구","장안2동","109"
"2013년 08월","서울특별시","동대문구","장안동","143"
"2013년 08월","서울특별시","동대문구","전농1동","12"
"2013년 08월","서울특별시","동대문구","전농2동","17"
"2013년 08월","서울특별시","동대문구","전농4동","47"
"2013년 08월","서울특별시","동대문구","전농동","77"
"2013년 08월","서울특별시","동대문구","제기동","52"
"2013년 08월","서울특별시","동대문구","청량리1동","7"
"2013년 08월","서울특별시","동대문구","회기동","24"
"2013년 08월","서울특별시","동대문구","휘경1동","74"
"2013년 08월","서울특별시","동대문구","휘경2동","11"
"2013년 08월","서울특별시","동작구","노량진2동","11"
"2013년 08월","서울특별시","동작구","노량진동","109"
"2013년 08월","서울특별시","동작구","대방동","89"
"2013년 08월","서울특별시","동작구","동작동","15"
"2013년 08월","서울특별시","동작구","본동","45"
"2013년 08월","서울특별시","동작구","사당1동","264"
"2013년 08월","서울특별시","동작구","사당2동","35"
"2013년 08월","서울특별시","동작구","사당5동","71"
"2013년 08월","서울특별시","동작구","사당동","61"
"2013년 08월","서울특별시","동작구","상도1동","72"
"2013년 08월","서울특별시","동작구","상도4동","14"
"2013년 08월","서울특별시","동작구","상도5동","29"
"2013년 08월","서울특별시","동작구","상도동","71"
"2013년 08월","서울특별시","동작구","신대방동","97"
"2013년 08월","서울특별시","동작구","흑석1동","76"
"2013년 08월","서울특별시","마포구","공덕2동","7"
"2013년 08월","서울특별시","마포구","대흥동","114"
"2013년 08월","서울특별시","마포구","동교동","307"
"2013년 08월","서울특별시","마포구","마포동","237"
"2013년 08월","서울특별시","마포구","망원1동","24"
"2013년 08월","서울특별시","마포구","망원2동","70"
"2013년 08월","서울특별시","마포구","상수동","73"
"2013년 08월","서울특별시","마포구","상암동","139"
"2013년 08월","서울특별시","마포구","서교동","391"
"2013년 08월","서울특별시","마포구","성산1동","49"
"2013년 08월","서울특별시","마포구","성산동","82"
"2013년 08월","서울특별시","마포구","신공덕동","177"
"2013년 08월","서울특별시","마포구","신수동","49"
"2013년 08월","서울특별시","마포구","아현동","54"
"2013년 08월","서울특별시","마포구","연남동","38"
"2013년 08월","서울특별시","마포구","창전동","70"
"2013년 08월","서울특별시","마포구","합정동","269"
"2013년 08월","서울특별시","서대문구","남가좌2동","13"
"2013년 08월","서울특별시","서대문구","남가좌동","28"
"2013년 08월","서울특별시","서대문구","대신동","73"
"2013년 08월","서울특별시","서대문구","북가좌1동","21"
"2013년 08월","서울특별시","서대문구","북가좌동","72"
"2013년 08월","서울특별시","서대문구","북아현1동","35"
"2013년 08월","서울특별시","서대문구","북아현동","29"
"2013년 08월","서울특별시","서대문구","연희2동","16"
"2013년 08월","서울특별시","서대문구","연희3동","11"
"2013년 08월","서울특별시","서대문구","연희동","56"
"2013년 08월","서울특별시","서대문구","창천동","374"
"2013년 08월","서울특별시","서대문구","충정로2가","83"
"2013년 08월","서울특별시","서대문구","홍은2동","25"
"2013년 08월","서울특별시","서대문구","홍은동","84"
"2013년 08월","서울특별시","서대문구","홍제동","45"
"2013년 08월","서울특별시","서초구","내곡동","28"
"2013년 08월","서울특별시","서초구","반포1동","566"
"2013년 08월","서울특별시","서초구","반포4동","294"
"2013년 08월","서울특별시","서초구","반포동","235"
"2013년 08월","서울특별시","서초구","반포본동","130"
"2013년 08월","서울특별시","서초구","방배1동","28"
"2013년 08월","서울특별시","서초구","방배4동","106"
"2013년 08월","서울특별시","서초구","방배동","142"
"2013년 08월","서울특별시","서초구","방배본동","100"
"2013년 08월","서울특별시","서초구","서초1동","120"
"2013년 08월","서울특별시","서초구","서초2동","374"
"2013년 08월","서울특별시","서초구","서초3동","618"
"2013년 08월","서울특별시","서초구","서초4동","492"
"2013년 08월","서울특별시","서초구","서초동","153"
"2013년 08월","서울특별시","서초구","신원동","91"
"2013년 08월","서울특별시","서초구","양재1동","194"
"2013년 08월","서울특별시","서초구","양재2동","417"
"2013년 08월","서울특별시","서초구","양재동","188"
"2013년 08월","서울특별시","서초구","우면동","71"
"2013년 08월","서울특별시","서초구","잠원동","639"
"2013년 08월","서울특별시","성동구","금호동1가","24"
"2013년 08월","서울특별시","성동구","금호동4가","86"
"2013년 08월","서울특별시","성동구","도선동","87"
"2013년 08월","서울특별시","성동구","마장동","58"
"2013년 08월","서울특별시","성동구","성수1가2동","52"
"2013년 08월","서울특별시","성동구","성수2가1동","10"
"2013년 08월","서울특별시","성동구","성수2가3동","133"
"2013년 08월","서울특별시","성동구","성수동1가","77"
"2013년 08월","서울특별시","성동구","성수동2가","83"
"2013년 08월","서울특별시","성동구","송정동","16"
"2013년 08월","서울특별시","성동구","옥수동","98"
"2013년 08월","서울특별시","성동구","용답동","41"
"2013년 08월","서울특별시","성동구","행당동","154"
"2013년 08월","서울특별시","성북구","길음2동","117"
"2013년 08월","서울특별시","성북구","길음동","44"
"2013년 08월","서울특별시","성북구","동선동1가","79"
"2013년 08월","서울특별시","성북구","동선동2가","45"
"2013년 08월","서울특별시","성북구","동선동5가","30"
"2013년 08월","서울특별시","성북구","동소문동1가","41"
"2013년 08월","서울특별시","성북구","보문동4가","28"
"2013년 08월","서울특별시","성북구","삼선동2가","6"
"2013년 08월","서울특별시","성북구","삼선동5가","68"
"2013년 08월","서울특별시","성북구","상월곡동","10"
"2013년 08월","서울특별시","성북구","석관동","92"
"2013년 08월","서울특별시","성북구","성북1동","46"
"2013년 08월","서울특별시","성북구","안암동5가","69"
"2013년 08월","서울특별시","성북구","장위3동","14"
"2013년 08월","서울특별시","성북구","장위동","57"
"2013년 08월","서울특별시","성북구","정릉1동","47"
"2013년 08월","서울특별시","성북구","정릉2동","81"
"2013년 08월","서울특별시","성북구","정릉3동","75"
"2013년 08월","서울특별시","성북구","정릉동","19"
"2013년 08월","서울특별시","성북구","종암동","45"
"2013년 08월","서울특별시","성북구","하월곡동","127"
"2013년 08월","서울특별시","송파구","가락2동","68"
"2013년 08월","서울특별시","송파구","가락동","237"
"2013년 08월","서울특별시","송파구","가락본동","55"
"2013년 08월","서울특별시","송파구","거여동","85"
"2013년 08월","서울특별시","송파구","마천동","34"
"2013년 08월","서울특별시","송파구","문정1동","71"
"2013년 08월","서울특별시","송파구","문정동","531"
"2013년 08월","서울특별시","송파구","방이1동","45"
"2013년 08월","서울특별시","송파구","방이2동","273"
"2013년 08월","서울특별시","송파구","방이동","317"
"2013년 08월","서울특별시","송파구","삼전동","91"
"2013년 08월","서울특별시","송파구","석촌동","145"
"2013년 08월","서울특별시","송파구","송파동","195"
"2013년 08월","서울특별시","송파구","신천동","141"
"2013년 08월","서울특별시","송파구","오금동","192"
"2013년 08월","서울특별시","송파구","잠실1동","31"
"2013년 08월","서울특별시","송파구","잠실동","258"
"2013년 08월","서울특별시","송파구","잠실본동","350"
"2013년 08월","서울특별시","송파구","장지동","110"
"2013년 08월","서울특별시","송파구","풍납2동","81"
"2013년 08월","서울특별시","양천구","목1동","6"
"2013년 08월","서울특별시","양천구","목2동","40"
"2013년 08월","서울특별시","양천구","목4동","98"
"2013년 08월","서울특별시","양천구","목5동","111"
"2013년 08월","서울특별시","양천구","목동","217"
"2013년 08월","서울특별시","양천구","신월1동","68"
"2013년 08월","서울특별시","양천구","신월3동","28"
"2013년 08월","서울특별시","양천구","신월5동","84"
"2013년 08월","서울특별시","양천구","신월6동","42"
"2013년 08월","서울특별시","양천구","신월7동","169"
"2013년 08월","서울특별시","양천구","신월동","44"
"2013년 08월","서울특별시","양천구","신정3동","93"
"2013년 08월","서울특별시","양천구","신정4동","151"
"2013년 08월","서울특별시","양천구","신정6동","54"
"2013년 08월","서울특별시","양천구","신정7동","15"
"2013년 08월","서울특별시","양천구","신정동","105"
"2013년 08월","서울특별시","영등포구","당산동1가","19"
"2013년 08월","서울특별시","영등포구","당산동2가","111"
"2013년 08월","서울특별시","영등포구","당산동3가","78"
"2013년 08월","서울특별시","영등포구","당산동4가","78"
"2013년 08월","서울특별시","영등포구","당산동6가","96"
"2013년 08월","서울특별시","영등포구","대림3동","160"
"2013년 08월","서울특별시","영등포구","대림동","34"
"2013년 08월","서울특별시","영등포구","문래동2가","82"
"2013년 08월","서울특별시","영등포구","문래동6가","62"
"2013년 08월","서울특별시","영등포구","신길1동","23"
"2013년 08월","서울특별시","영등포구","신길3동","34"
"2013년 08월","서울특별시","영등포구","신길4동","34"
"2013년 08월","서울특별시","영등포구","신길5동","25"
"2013년 08월","서울특별시","영등포구","신길6동","12"
"2013년 08월","서울특별시","영등포구","신길7동","37"
"2013년 08월","서울특별시","영등포구","신길동","43"
"2013년 08월","서울특별시","영등포구","양평동3가","29"
"2013년 08월","서울특별시","영등포구","양평동4가","141"
"2013년 08월","서울특별시","영등포구","여의도동","937"
"2013년 08월","서울특별시","영등포구","영등포동","61"
"2013년 08월","서울특별시","영등포구","영등포동2가","29"
"2013년 08월","서울특별시","영등포구","영등포동3가","269"
"2013년 08월","서울특별시","영등포구","영등포동4가","61"
"2013년 08월","서울특별시","영등포구","영등포동7가","56"
"2013년 08월","서울특별시","영등포구","영등포동8가","29"
"2013년 08월","서울특별시","영등포구","영등포본동","56"
"2013년 08월","서울특별시","용산구","갈월동","140"
"2013년 08월","서울특별시","용산구","동빙고동","211"
"2013년 08월","서울특별시","용산구","동자동","187"
"2013년 08월","서울특별시","용산구","보광동","55"
"2013년 08월","서울특별시","용산구","서계동","45"
"2013년 08월","서울특별시","용산구","서빙고동","21"
"2013년 08월","서울특별시","용산구","신계동","46"
"2013년 08월","서울특별시","용산구","용문동","19"
"2013년 08월","서울특별시","용산구","용산동2가","71"
"2013년 08월","서울특별시","용산구","용산동6가","28"
"2013년 08월","서울특별시","용산구","원효로2가","51"
"2013년 08월","서울특별시","용산구","원효로3가","53"
"2013년 08월","서울특별시","용산구","이촌동","96"
"2013년 08월","서울특별시","용산구","청파동3가","8"
"2013년 08월","서울특별시","용산구","한강로1가","7"
"2013년 08월","서울특별시","용산구","한강로2가","129"
"2013년 08월","서울특별시","용산구","한강로3가","65"
"2013년 08월","서울특별시","용산구","한남동","398"
"2013년 08월","서울특별시","용산구","후암동","34"
"2013년 08월","서울특별시","은평구","갈현1동","111"
"2013년 08월","서울특별시","은평구","구산동","36"
"2013년 08월","서울특별시","은평구","녹번동","39"
"2013년 08월","서울특별시","은평구","대조동","89"
"2013년 08월","서울특별시","은평구","불광2동","47"
"2013년 08월","서울특별시","은평구","불광3동","27"
"2013년 08월","서울특별시","은평구","수색동","36"
"2013년 08월","서울특별시","은평구","신사1동","33"
"2013년 08월","서울특별시","은평구","신사2동","10"
"2013년 08월","서울특별시","은평구","신사동","14"
"2013년 08월","서울특별시","은평구","역촌2동","11"
"2013년 08월","서울특별시","은평구","역촌동","79"
"2013년 08월","서울특별시","은평구","응암2동","23"
"2013년 08월","서울특별시","은평구","응암3동","28"
"2013년 08월","서울특별시","은평구","응암동","35"
"2013년 08월","서울특별시","은평구","증산동","26"
"2013년 08월","서울특별시","은평구","진관동","52"
"2013년 08월","서울특별시","종로구","경운동","52"
"2013년 08월","서울특별시","종로구","계동","55"
"2013년 08월","서울특별시","종로구","관철동","415"
"2013년 08월","서울특별시","종로구","교북동","53"
"2013년 08월","서울특별시","종로구","구기동","33"
"2013년 08월","서울특별시","종로구","낙원동","99"
"2013년 08월","서울특별시","종로구","당주동","158"
"2013년 08월","서울특별시","종로구","명륜3가","30"
"2013년 08월","서울특별시","종로구","부암동","22"
"2013년 08월","서울특별시","종로구","서린동","393"
"2013년 08월","서울특별시","종로구","수송동","111"
"2013년 08월","서울특별시","종로구","숭인1동","46"
"2013년 08월","서울특별시","종로구","숭인동","11"
"2013년 08월","서울특별시","종로구","신영동","40"
"2013년 08월","서울특별시","종로구","안국동","6"
"2013년 08월","서울특별시","종로구","인의동","111"
"2013년 08월","서울특별시","종로구","적선동","18"
"2013년 08월","서울특별시","종로구","종로2가","8"
"2013년 08월","서울특별시","종로구","종로3가","92"
"2013년 08월","서울특별시","종로구","종로5가","67"
"2013년 08월","서울특별시","종로구","종로6가","7"
"2013년 08월","서울특별시","종로구","창신1동","89"
"2013년 08월","서울특별시","종로구","충신동","59"
"2013년 08월","서울특별시","종로구","통의동","99"
"2013년 08월","서울특별시","종로구","평창동","58"
"2013년 08월","서울특별시","종로구","혜화동","174"
"2013년 08월","서울특별시","중구","광희동1가","94"
"2013년 08월","서울특별시","중구","남대문로5가","366"
"2013년 08월","서울특별시","중구","남창동","10"
"2013년 08월","서울특별시","중구","다동","28"
"2013년 08월","서울특별시","중구","명동2가","65"
"2013년 08월","서울특별시","중구","무교동","239"
"2013년 08월","서울특별시","중구","서소문동","147"
"2013년 08월","서울특별시","중구","신당3동","98"
"2013년 08월","서울특별시","중구","신당동","146"
"2013년 08월","서울특별시","중구","을지로1가","9"
"2013년 08월","서울특별시","중구","을지로2가","535"
"2013년 08월","서울특별시","중구","을지로3가","141"
"2013년 08월","서울특별시","중구","을지로5가","51"
"2013년 08월","서울특별시","중구","장충동1가","112"
"2013년 08월","서울특별시","중구","장충동2가","8"
"2013년 08월","서울특별시","중구","정동","31"
"2013년 08월","서울특별시","중구","주교동","19"
"2013년 08월","서울특별시","중구","충무로1가","152"
"2013년 08월","서울특별시","중구","충무로2가","60"
"2013년 08월","서울특별시","중구","충무로4가","6"
"2013년 08월","서울특별시","중구","충무로5가","22"
"2013년 08월","서울특별시","중구","태평로1가","7"
"2013년 08월","서울특별시","중구","태평로2가","206"
"2013년 08월","서울특별시","중구","필동2가","243"
"2013년 08월","서울특별시","중구","황학동","48"
"2013년 08월","서울특별시","중랑구","망우3동","12"
"2013년 08월","서울특별시","중랑구","망우동","60"
"2013년 08월","서울특별시","중랑구","망우본동","37"
"2013년 08월","서울특별시","중랑구","면목2동","64"
"2013년 08월","서울특별시","중랑구","면목3.8동","109"
"2013년 08월","서울특별시","중랑구","면목4동","14"
"2013년 08월","서울특별시","중랑구","면목5동","47"
"2013년 08월","서울특별시","중랑구","면목6동","30"
"2013년 08월","서울특별시","중랑구","면목8동","9"
"2013년 08월","서울특별시","중랑구","면목동","18"
"2013년 08월","서울특별시","중랑구","면목본동","53"
"2013년 08월","서울특별시","중랑구","묵2동","57"
"2013년 08월","서울특별시","중랑구","묵동","27"
"2013년 08월","서울특별시","중랑구","상봉1동","37"
"2013년 08월","서울특별시","중랑구","상봉2동","20"
"2013년 08월","서울특별시","중랑구","상봉동","61"
"2013년 08월","서울특별시","중랑구","신내1동","155"
"2013년 08월","서울특별시","중랑구","중화1동","61"
"2013년 08월","서울특별시","중랑구","중화2동","39"
"2013년 08월","서울특별시","중랑구","중화동","7"
